episode,cumulative_reward,steps,epsilon,reward (rolling avg),steps (rolling avg)
353,997.7,24.0,0.02907960468580265,998.0399999999998,20.6
354,998.1,20.0,0.028788808638944622,998.0399999999998,20.6
355,997.9,22.0,0.028500920552555174,998.04,20.6
356,998.1,20.0,0.028215911347029624,998.04,20.6
357,998.1,20.0,0.027933752233559327,998.04,20.6
358,998.9,12.0,0.027654414711223735,998.056,20.44
359,997.9,22.0,0.027377870564111496,998.064,20.36
360,998.1,20.0,0.027104091858470382,998.072,20.28
361,998.1,20.0,0.026833050939885677,998.0759999999999,20.24
362,998.1,20.0,0.02656472043048682,998.08,20.2
363,997.9,22.0,0.02629907322618195,998.076,20.24
364,998.1,20.0,0.026036082493920133,998.084,20.16
365,997.9,22.0,0.02577572166898093,998.08,20.2
366,997.9,22.0,0.025517964452291122,998.076,20.24
367,997.9,22.0,0.02526278480776821,998.0720000000001,20.28
368,998.1,20.0,0.025010156959690527,998.072,20.28
369,998.1,20.0,0.02476005539009362,998.0719999999998,20.28
370,998.1,20.0,0.024512454836192684,998.0759999999999,20.24
371,998.1,20.0,0.024267330287830756,998.0759999999999,20.24
372,998.1,20.0,0.024024656984952448,998.08,20.2
373,998.1,20.0,0.023784410415102923,998.08,20.2
374,998.1,20.0,0.023546566310951894,998.08,20.2
375,997.9,22.0,0.023311100647842375,998.076,20.24
376,998.1,20.0,0.02307798964136395,998.076,20.24
377,997.9,22.0,0.022847209744950314,998.0720000000001,20.28
378,998.1,20.0,0.02261873764750081,998.076,20.24
379,998.1,20.0,0.022392550271025803,998.08,20.2
380,998.1,20.0,0.022168624768315544,998.084,20.16
381,998.1,20.0,0.02194693852063239,998.084,20.16
382,997.9,22.0,0.021727469135426065,998.08,20.2
383,998.1,20.0,0.021510194444071803,998.0800000000002,20.2
384,998.1,20.0,0.021295092499631085,998.084,20.16
385,998.1,20.0,0.021082141574634772,998.0559999999999,20.44
386,997.9,22.0,0.020871320158888425,998.0520000000001,20.48
387,998.1,20.0,0.020662606957299542,998.0520000000001,20.48
388,998.2,19.0,0.020455980887726547,998.058,20.42
389,998.1,20.0,0.02025142107884928,998.0579999999999,20.42
390,999.9,2.0,0.020048906868060788,998.0939999999999,20.06
391,998.1,20.0,0.01984841779938018,998.094,20.06
392,997.9,22.0,0.019649933621386378,998.09,20.1
393,998.1,20.0,0.019453434285172513,998.09,20.1
394,998.1,20.0,0.019258899942320787,998.09,20.1
395,997.7,24.0,0.01906631094289758,998.082,20.18
396,998.1,20.0,0.018875647833468602,998.082,20.18
397,998.1,20.0,0.018686891355133916,998.086,20.14
398,998.1,20.0,0.018500022441582577,998.086,20.14
399,998.1,20.0,0.01831502221716675,998.09,20.1
400,998.4,17.0,0.018131871994995084,998.1,20.0
401,998.1,20.0,0.017950553275045134,998.1,20.0
402,998.1,20.0,0.017771047742294682,998.1,20.0
403,998.1,20.0,0.017593337264871736,998.1080000000001,19.92
404,998.1,20.0,0.01741740389222302,998.1079999999998,19.92
405,998.1,20.0,0.01724322985330079,998.112,19.88
406,998.1,20.0,0.017070797554767782,998.112,19.88
407,998.1,20.0,0.016900089579220106,998.1120000000001,19.88
408,998.1,20.0,0.016731088683427906,998.096,20.04
409,998.1,20.0,0.016563777796593626,998.1,20.0
410,998.1,20.0,0.016398140018627688,998.1,20.0
411,998.1,20.0,0.01623415861844141,998.1,20.0
412,998.1,20.0,0.016071817032256998,998.1,20.0
413,998.1,20.0,0.01591109886193443,998.104,19.96
414,998.1,20.0,0.015751987873315085,998.104,19.96
415,998.1,20.0,0.015594467994581935,998.1080000000001,19.92
416,998.1,20.0,0.015438523314636115,998.1120000000001,19.88
417,998.1,20.0,0.015284138081489753,998.1160000000001,19.84
418,998.1,20.0,0.015131296700674856,998.1160000000001,19.84
419,998.1,20.0,0.014979983733668108,998.1160000000001,19.84
420,998.1,20.0,0.014830183896331426,998.1160000000001,19.84
421,998.1,20.0,0.014681882057368112,998.1160000000001,19.84
422,998.1,20.0,0.01453506323679443,998.1160000000001,19.84
423,998.1,20.0,0.014389712604426485,998.1160000000001,19.84
424,998.1,20.0,0.01424581547838222,998.1160000000001,19.84
425,998.1,20.0,0.014103357323598397,998.12,19.8
426,998.1,20.0,0.013962323750362413,998.12,19.8
427,998.1,20.0,0.013822700512858789,998.1239999999999,19.76
428,998.1,20.0,0.0136844735077302,998.1240000000001,19.76
429,997.9,22.0,0.013547628772652899,998.12,19.8
430,998.7,14.0,0.01341215248492637,998.132,19.68
431,998.1,20.0,0.013278030960077106,998.132,19.68
432,998.1,20.0,0.013145250650476335,998.1360000000001,19.64
433,998.1,20.0,0.01301379814397157,998.1360000000001,19.64
434,998.1,20.0,0.012883660162531854,998.1360000000001,19.64
435,998.1,20.0,0.012754823560906535,998.1360000000001,19.64
436,998.1,20.0,0.01262727532529747,998.14,19.6
437,998.1,20.0,0.012501002572044496,998.14,19.6
438,998.1,20.0,0.01237599254632405,998.1379999999999,19.62
439,998.1,20.0,0.01225223262086081,998.138,19.62
440,998.1,20.0,0.012129710294652202,998.102,19.98
441,998.1,20.0,0.01200841319170568,998.1020000000001,19.98
442,998.1,20.0,0.011888329059788623,998.1060000000001,19.94
443,998.1,20.0,0.011769445769190737,998.1060000000001,19.94
444,998.1,20.0,0.01165175131149883,998.1060000000001,19.94
445,997.9,22.0,0.011535233798383842,998.11,19.9
446,998.1,20.0,0.011419881460400004,998.11,19.9
447,998.1,20.0,0.011305682645796004,998.11,19.9
448,998.1,20.0,0.011192625819338045,998.11,19.9
449,997.9,22.0,0.011080699561144665,998.1060000000001,19.94
450,998.1,20.0,0.010969892565533218,998.1,20.0
451,997.9,22.0,0.010860193639877886,998.096,20.04
452,997.9,22.0,0.010751591703479106,998.0920000000001,20.08
453,998.1,20.0,0.010644075786444315,998.092,20.08
454,998.1,20.0,0.010537635028579873,998.092,20.08
455,997.9,22.0,0.010432258678294073,998.0880000000001,20.12
456,998.1,20.0,0.010327936091511133,998.0880000000001,20.12
457,998.1,20.0,0.010224656730596022,998.0879999999999,20.12
458,998.1,20.0,0.01012241016329006,998.0879999999999,20.12
459,998.1,20.0,0.01002118606165716,998.0879999999999,20.12
460,998.1,20.0,0.01,998.0879999999999,20.12
461,998.1,20.0,0.01,998.0879999999999,20.12
462,998.1,20.0,0.01,998.0880000000001,20.12
463,997.9,22.0,0.01,998.084,20.16
464,998.1,20.0,0.01,998.0840000000001,20.16
465,998.1,20.0,0.01,998.084,20.16
466,998.1,20.0,0.01,998.084,20.16
467,998.1,20.0,0.01,998.084,20.16
468,998.1,20.0,0.01,998.084,20.16
469,998.1,20.0,0.01,998.084,20.16
